Date,Name,Momentum
2022-02-07,AMZN,267.8299999999999
2022-01-03,TSLA,267.2099999999999
2020-08-25,AMZN,265.8199999999997
2022-03-30,AMZN,263.94000000000005
2021-02-02,AMZN,259.2399999999998
2021-10-28,TSLA,258.7199999999999
2021-10-18,AMZN,256.9599999999996
2021-06-21,AMZN,255.94999999999982
2020-08-28,AMZN,253.7800000000002
2022-03-30,TSLA,253.76
2020-07-15,AMZN,250.04999999999973
2022-01-04,TSLA,249.64999999999986
2021-09-07,AMZN,243.42000000000007
2021-06-22,AMZN,241.32999999999993
2020-08-27,AMZN,238.98000000000002
2020-10-05,AMZN,238.73000000000002
2021-02-01,AMZN,238.6300000000001
2020-08-06,AMZN,238.44999999999982
2021-04-16,AMZN,238.44000000000005
2020-07-01,AMZN,237.7199999999998
2020-06-10,AMZN,237.05999999999995
2020-07-02,AMZN,236.32000000000016
2021-01-08,TSLA,234.03999999999996
2021-07-14,AMZN,233.53999999999996
2021-07-13,AMZN,233.47000000000025
2021-10-25,TSLA,232.91999999999985
2021-08-31,AMZN,228.82999999999993
2021-11-16,AMZN,227.94999999999982
2021-07-08,AMZN,227.5899999999997
2021-11-15,AMZN,227.5699999999997
2021-10-27,TSLA,226.77999999999986
2021-10-19,AMZN,223.1500000000001
2021-06-23,AMZN,222.67000000000007
2021-07-06,AMZN,221.77999999999975
2021-09-08,AMZN,219.7199999999998
2021-11-18,AMZN,219.05999999999995
2020-02-07,AMZN,217.6400000000001
2022-03-25,TSLA,215.28999999999996
2020-10-14,AMZN,214.98000000000002
2021-10-26,TSLA,212.70999999999992
2020-10-01,AMZN,212.5300000000002
2021-04-08,AMZN,212.23000000000002
2021-01-26,AMZN,211.92000000000007
2020-04-27,AMZN,207.1300000000001
2022-03-31,TSLA,205.9999999999999
2018-12-06,AMZN,203.73000000000002
2020-07-31,AMZN,202.71000000000004
2021-11-09,AMZN,200.15999999999985
2020-06-25,AMZN,196.6199999999999
2020-10-07,AMZN,195.82999999999993
2020-06-18,AMZN,193.3800000000001
2019-06-17,AMZN,193.33999999999992
2019-03-21,AMZN,193.30999999999995
2019-01-17,AMZN,192.94000000000005
2020-06-19,AMZN,192.01000000000022
2020-10-09,AMZN,191.51999999999998
2021-07-07,AMZN,191.13999999999987
2021-07-15,AMZN,191.03999999999996
2020-06-22,AMZN,189.76000000000022
2021-01-13,TSLA,188.41999999999996
2022-03-17,AMZN,186.8100000000004
2020-09-01,AMZN,186.6300000000001
2022-02-11,AMZN,186.30999999999995
2021-01-12,TSLA,185.75
2019-01-10,AMZN,185.31999999999994
2021-09-09,AMZN,184.98000000000002
