Date,Name,Price
2022-03-07,AMZN,2749.06
2020-06-24,AMZN,2734.4
2022-03-08,AMZN,2720.29
2020-06-22,AMZN,2713.82
2020-06-26,AMZN,2692.87
2020-06-29,AMZN,2680.38
2020-06-19,AMZN,2675.01
2020-06-18,AMZN,2653.98
2020-06-10,AMZN,2647.45
2020-06-17,AMZN,2640.98
2020-06-16,AMZN,2615.27
2020-06-09,AMZN,2600.86
2020-06-15,AMZN,2572.68
2020-06-11,AMZN,2557.96
2020-06-12,AMZN,2545.02
2020-06-08,AMZN,2524.06
2020-05-20,AMZN,2497.94
2020-06-05,AMZN,2483.0
2020-06-03,AMZN,2478.4
2020-04-30,AMZN,2474.0
2020-06-02,AMZN,2472.41
2020-06-01,AMZN,2471.04
2020-06-04,AMZN,2460.6
2020-05-19,AMZN,2449.33
2020-05-21,AMZN,2446.74
2020-05-29,AMZN,2442.37
2020-05-22,AMZN,2436.88
2020-05-18,AMZN,2426.26
2020-05-26,AMZN,2421.86
2020-05-27,AMZN,2410.39
2020-04-24,AMZN,2410.22
2020-05-15,AMZN,2409.78
2020-05-11,AMZN,2409.0
2020-04-16,AMZN,2408.19
2020-05-28,AMZN,2401.1
2020-04-23,AMZN,2399.45
2020-04-20,AMZN,2393.61
2020-05-14,AMZN,2388.85
2020-05-08,AMZN,2379.61
2020-04-27,AMZN,2376.0
2020-04-17,AMZN,2375.0
2020-04-29,AMZN,2372.71
2020-05-13,AMZN,2367.92
2020-05-07,AMZN,2367.61
2020-04-22,AMZN,2363.49
2020-05-12,AMZN,2356.95
2020-05-06,AMZN,2351.26
2020-04-21,AMZN,2328.12
2020-05-05,AMZN,2317.8
2020-05-04,AMZN,2315.99
2020-04-28,AMZN,2314.08
2020-04-15,AMZN,2307.68
2020-05-01,AMZN,2286.04
2020-04-14,AMZN,2283.32
2020-02-19,AMZN,2170.22
2020-04-13,AMZN,2168.87
2020-02-12,AMZN,2160.0
2020-02-18,AMZN,2155.67
2020-02-20,AMZN,2153.1
2020-02-11,AMZN,2150.8
2020-02-13,AMZN,2149.87
2020-02-14,AMZN,2134.87
2020-02-10,AMZN,2133.91
2020-02-21,AMZN,2095.97
2020-02-07,AMZN,2079.28
2020-02-06,AMZN,2050.23
2020-02-04,AMZN,2049.67
2020-04-08,AMZN,2043.0
2020-04-09,AMZN,2042.76
2020-02-05,AMZN,2039.87
2018-09-04,AMZN,2039.51
2019-07-15,AMZN,2020.99
2019-07-10,AMZN,2017.41
2018-09-27,AMZN,2012.98
2018-08-31,AMZN,2012.71
2020-04-07,AMZN,2011.6
2019-07-12,AMZN,2011.0
2019-07-16,AMZN,2009.9
2020-02-24,AMZN,2009.29
2020-01-31,AMZN,2008.72
2018-10-01,AMZN,2004.36
2020-02-03,AMZN,2004.2
2018-09-28,AMZN,2003.0
2018-08-30,AMZN,2002.38
2019-07-11,AMZN,2001.07
2019-07-24,AMZN,2000.81
2018-08-29,AMZN,1998.1
2020-04-06,AMZN,1997.59
2018-09-05,AMZN,1994.82
2019-07-23,AMZN,1994.49
2019-07-17,AMZN,1992.03
2018-09-12,AMZN,1990.0
2018-09-13,AMZN,1989.87
2019-07-09,AMZN,1988.3
2018-09-11,AMZN,1987.15
2019-07-22,AMZN,1985.63
2020-02-26,AMZN,1979.59
2019-07-18,AMZN,1977.9
2020-03-04,AMZN,1975.83
2018-09-26,AMZN,1974.85
2018-09-25,AMZN,1974.55
2019-07-25,AMZN,1973.82
2020-02-25,AMZN,1972.74
2018-10-02,AMZN,1971.31
2018-09-14,AMZN,1970.19
2019-07-19,AMZN,1964.52
2020-03-30,AMZN,1963.95
2019-05-03,AMZN,1962.46
2018-09-06,AMZN,1958.31
2020-03-26,AMZN,1955.49
2020-03-02,AMZN,1953.95
2018-10-03,AMZN,1952.76
2019-07-08,AMZN,1952.32
2018-09-07,AMZN,1952.07
2019-04-26,AMZN,1950.63
2019-05-06,AMZN,1950.55
2020-03-31,AMZN,1949.72
2018-09-20,AMZN,1944.3
2019-07-26,AMZN,1943.05
2019-07-05,AMZN,1942.91
2018-09-18,AMZN,1941.05
2020-03-24,AMZN,1940.1
2018-09-10,AMZN,1939.01
2019-07-03,AMZN,1939.0
2019-04-29,AMZN,1938.43
2018-09-24,AMZN,1934.36
2019-07-02,AMZN,1934.31
2018-08-28,AMZN,1932.82
2018-08-27,AMZN,1927.68
2019-04-30,AMZN,1926.52
2018-09-19,AMZN,1926.42
2020-03-05,AMZN,1924.03
2019-04-23,AMZN,1923.77
2019-07-01,AMZN,1922.19
2019-05-07,AMZN,1921.0
2018-08-14,AMZN,1919.65
2020-04-02,AMZN,1918.83
2019-06-20,AMZN,1918.19
2019-05-08,AMZN,1917.77
2018-09-21,AMZN,1915.01
2019-06-24,AMZN,1913.9
2019-07-29,AMZN,1912.45
2019-05-01,AMZN,1911.52
2019-06-21,AMZN,1911.3
2018-10-04,AMZN,1909.42
2020-03-03,AMZN,1908.99
2019-06-19,AMZN,1908.79
2018-09-17,AMZN,1908.03
2020-04-01,AMZN,1907.7
2019-05-16,AMZN,1907.57
2020-01-07,AMZN,1906.86
2020-04-03,AMZN,1906.59
2018-08-24,AMZN,1905.39
2018-08-22,AMZN,1904.9
2019-06-27,AMZN,1904.28
2018-08-23,AMZN,1902.9
2020-01-06,AMZN,1902.88
2020-03-23,AMZN,1902.83
2019-04-25,AMZN,1902.25
2019-04-24,AMZN,1901.75
2019-06-18,AMZN,1901.37
2020-03-06,AMZN,1901.09
2020-01-09,AMZN,1901.05
2019-05-02,AMZN,1900.82
2020-03-27,AMZN,1900.1
2019-05-09,AMZN,1899.87
2019-07-30,AMZN,1898.53
2018-08-09,AMZN,1898.52
2020-01-02,AMZN,1898.01
2019-06-26,AMZN,1897.83
2018-08-13,AMZN,1896.2
2019-06-28,AMZN,1893.63
2020-01-21,AMZN,1892.0
2020-01-08,AMZN,1891.97
2020-03-10,AMZN,1891.82
2020-01-13,AMZN,1891.3
2019-05-10,AMZN,1889.98
2018-10-05,AMZN,1889.65
2020-01-22,AMZN,1887.46
2019-04-22,AMZN,1887.31
2018-08-08,AMZN,1886.52
2018-08-16,AMZN,1886.52
2018-08-10,AMZN,1886.3
2019-06-17,AMZN,1886.03
2020-03-25,AMZN,1885.84
2020-01-23,AMZN,1884.58
2020-02-27,AMZN,1884.3
2020-02-28,AMZN,1883.75
2018-08-21,AMZN,1883.42
2020-01-10,AMZN,1883.16
2018-08-15,AMZN,1882.62
2018-08-17,AMZN,1882.22
2020-03-19,AMZN,1880.93
2019-06-25,AMZN,1878.27
